,name,label
0,2_1932e3ca2084c4ef9ee98c747cd21f16.png,2
1,1_db169d0be36123bd55b866d6aa73983b.png,1
2,1_a0ed62efc8bf9e5053d18e250390b96d.png,1
3,2_762f339322e42d419878a7b9c887553c.png,2
4,1_879caa633ff0c3c5a9f2c483e757b991.png,1
5,2_efc7bc78ce88e95191fdab525f974c24.png,2
6,1_1133414000e82176ab7852aeacc762eb.png,1
7,0_1e94c85856e4bf6d065a2e94ab90694c.png,0
8,2_73677ea9100c2fc6b88ba7442c90bcf9.png,2
9,1_429ce8e289547fe54bb229c3091cedbf.png,1
10,0_3d39ca4c351d61ce5e3f952d2152066f.png,0
11,0_6d43d219db726158fff4612cbf843c4c.png,0
12,2_682008cffca1751980b4010f4e82520d.png,2
13,1_ca72b54e1dc0ba04d64631ccd30acb9d.png,1
14,1_6d3451478ca527968706d5075d5bf0ce.png,1
15,0_739c6b521d0d2fafa2d6364f0800f772.png,0
16,0_ae235ff7800b83683b90229194ee7e18.png,0
17,0_f81f1782addff49e3d3b7da77228b8b9.png,0
18,1_62b135c34d01b4af10c39d65939d9d43.png,1
19,2_5a8231c748478ef6be5055800a2fce17.png,2
20,2_63cf713d392ce347a329b20e8bd4782b.png,2
21,0_b2f137920533727d1f89b6f187b3f5c6.png,0
22,2_0f5f23a027345ba0f0a63f1eca460b0c.png,2
23,1_68bf44155e1e9cd26c7ac566d5a02289.png,1
24,0_6ebf12c97a3f69fae8a169416f33d768.png,0
25,1_52c85584532b1c23d447ab91ac1787ef.png,1
26,1_7fa31ce0f6768ace9e8b25d1240feda0.png,1
27,0_fb4b441d1f1d39a0cf27f41980b178b2.png,0
28,1_55e39b1282cde6796b82c6b5019a1fb8.png,1
29,1_b78367d7be3c92afe88f13efcb6dcaf5.png,1
30,0_9419414560d0ad2da475ffaed99499fb.png,0
31,2_58c96358e94c768b0eeb723bf985d575.png,2
32,2_eb76c1606548e4410a5fa74b70ebe5c9.png,2
33,1_e2516771535cd2d3550541b91d8b1233.png,1
34,2_e027dbf13a085669fcae603111c049df.png,2
35,0_ff4cd5b2a61258ac551673d1311fa2a8.png,0
36,1_e7dad9b7047a87bb31b871d98c648d13.png,1
37,0_e04ec49ca9110f5e30e46394a2f1c894.png,0
38,0_5806177a64ee9573675b99073c50a47b.png,0
39,1_771e151f13e719b549b4e3d74c4777fe.png,1
40,1_f332f8f1673ac8dbf2d755540520a511.png,1
41,2_1725b46578ff86f1a8d21b10d4d4699a.png,2
42,0_f4600d99aba992cfb3807e4cebd240e7.png,0
43,2_1dd77edddd2212d41e34dd004d3e26df.png,2
44,2_824920c963d82a8c0a2a593177ad5b93.png,2
45,0_587be2890ac536488d3c32debc1c215f.png,0
46,0_d24f6cd1af8b44256ed82ed8ebab1771.png,0
47,0_b1983a1be904bc3d7c5cdf21e249e36e.png,0
48,1_1c32170b4af4ce1a3030eb8167753b06.png,1
49,0_f03ab985cd68c5cc6e57b3c936e2aeed.png,0
50,2_2596fb668f0ec31ac6622ea546e600cf.png,2
51,0_58d91c47c65fb368fe23ffa2dcbed62d.png,0
52,2_1e584da1fcf0c0297a22f0e36ce86732.png,2
53,0_1ce7996f94d654d32b68deb552867232.png,0
54,1_44227b3ea199ef4a06524f5c843e2608.png,1
55,0_2b76831f3acdcf52dabc60bc6f780381.png,0
56,1_f2e56bf4b304000674dde626b3335ca7.png,1
57,1_98553a08561599e00ebcbc603e206557.png,1
58,2_1f5a95707791ca66198f87bf0d11e89e.png,2
59,2_d5a6b16e6de1f5f21a7a549a84af463f.png,2
60,2_03dd99aa091caee7b0ce8efdf7f274d5.png,2
61,1_776d1803d568d646b2e8d8b0648cde5a.png,1
62,2_23b8b9881d7effc2a5aa2b7372f01d7f.png,2
63,0_9e83685b659621945abb3edbd792cf0b.png,0
64,1_97e5e230f793b64aba05a318d6fdf4c4.png,1
65,2_7a350dc1bcdf2fb34fcc57f05adf9da7.png,2
66,1_8573fa95ec3defbe2dec45d85a5093a1.png,1
67,0_eda707d79298458f23f778b0c8229d73.png,0
